PlantID,Type,Abundance,Reproduction,SeedWt,Diaspore
1,DwarfShrub,SA,VE,2,3
2,DwarfShrub,SR,VE,1,1
3,DwarfShrub,SA,VP,1,1
4,DwarfShrub,SA,VE,4,4
5,DwarfShrub,SR,VP,5,4
6,DwarfShrub,NS,VE,4,5
7,DwarfShrub,SA,VP,1,1
8,DwarfShrub,NS,VE,,4
9,DwarfShrub,SA,VP,1,2
10,DwarfShrub,SR,VE,1,2
11,DwarfShrub,NS,VE,1,2
12,DwarfShrub,SR,VE,2,4
13,DwarfShrub,SR,VE,2,4
14,Herbs,SA,NV,2,5
15,Herbs,SR,VE,1,2
16,Herbs,SR,VE,1,2
17,Herbs,SR,VE,1,2
18,Herbs,SA,VI,4,1
19,Herbs,SA,VE,2,3
20,Herbs,SR,VE,1,1
21,Herbs,SA,NV,2,1
22,Herbs,SA,VP,,1
23,Herbs,SA,VP,2,1
24,Herbs,SA,VP,,1
25,Herbs,SA,VP,1,1
26,Herbs,SA,VP,,1
27,Herbs,SA,NV,4,1
28,Herbs,SA,VI,1,2
29,Herbs,SA,NV,,2
30,Herbs,SA,NV,3,2
31,Herbs,SA,NV,,2
32,Herbs,SA,NV,2,2
33,Herbs,SA,NV,,2
34,Herbs,SA,NV,,1
35,Herbs,SA,VP,3,3
36,Herbs,SR,VE,3,1
37,Herbs,NS,VE,,2
38,Herbs,SR,VE,,
39,Herbs,SA,VP,3,1
40,Herbs,SR,VE,1,1
41,Herbs,SR,VE,1,1
42,Herbs,SA,VP,4,5
43,Herbs,SA,VP,,5
44,Herbs,SA,NV,2,5
45,Herbs,SA,NV,2,5
46,Herbs,SA,NV,1,5
47,Herbs,SA,VP,2,1
48,Herbs,SR,VE,4,2
49,Herbs,SA,VP,3,1
50,Herbs,SA,VP,3,2
51,Herbs,SA,NV,3,2
52,Herbs,SA,VE,2,1
53,Herbs,SR,VE,3,1
54,Herbs,SA,NV,3,1
55,Herbs,SA,VI,1,1
56,Herbs,SA,NV,3,1
57,Grasses,SA,VP,1,5
58,Grasses,SA,VI,2,5
59,Grasses,SR,VE,2,5
60,Grasses,NS,VE,,5
61,Grasses,SA,VE,3,1
62,Grasses,SA,VP,2,1
63,Grasses,SR,VE,4,1
64,Grasses,SA,VE,2,5
65,Grasses,SA,VP,2,5
66,Grasses,SA,VI,1,1
67,Grasses,SA,VI,2,1
68,Grasses,SA,VP,2,1
69,Grasses,SA,VP,2,1
70,Grasses,SA,VP,2,5
71,Grasses,SA,NV,2,5
72,Grasses,SA,VP,2,5
73,Grasses,SA,VP,2,5
